Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIA,1,1,,22,14,23,,620,16,16,12,20,
BLM,4,3,,8,22,47,,653,106,106,106,106,
BOEM,2,4,1,10,30,100,,361,99,99,,99,
BOR,3,4,,13,17,18,,94,,,,,
BSEE,3,3,1,7,30,87,,617,48,224,46,579,
FWS,3,4,,18,19,43,,894,3,11,3,46,
NPS,14,13,,27,13,30,,545,13,24,2,64,
OIG,6,24,,120,128,404,,1492,50,105,1,353,
OS,16,16,16,16,24,74,,983,5,5,5,5,
OSM,,,,,20,63,,766,,,,,
SOL,,,,,44,163,,1140,,,,,
USGS,,,,,9,17,,585,,,,,
Total,1,3,0,120,18,45,0,1492,14,65,0,579,
