Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOEMRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
FWS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
NPS,3,1,0,0,0,0,1,0,0,0,0,0,0,5,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
USGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,6,1,0,0,0,0,1,0,0,0,0,0,0,8,
